Time,Average kW/sqm
6/1/2016 0:00,0.019481247
6/1/2016 1:00,0.018402069
6/1/2016 2:00,0.01843735
6/1/2016 3:00,0.018030582
6/1/2016 4:00,0.018501685
6/1/2016 5:00,0.017937192
6/1/2016 6:00,0.019273713
6/1/2016 7:00,0.019304843
6/1/2016 8:00,0.021274344
6/1/2016 9:00,0.021872043
6/1/2016 10:00,0.022459365
6/1/2016 11:00,0.023621557
6/1/2016 12:00,0.023663064
6/1/2016 13:00,0.023567598
6/1/2016 14:00,0.023559297
6/1/2016 15:00,0.023432701
6/1/2016 16:00,0.023318557
6/1/2016 17:00,0.021929463
6/1/2016 18:00,0.021456974
6/1/2016 19:00,0.021046056
6/1/2016 20:00,0.019601617
6/1/2016 21:00,0.018613754
6/1/2016 22:00,0.018159254
6/1/2016 23:00,0.018047185
6/2/2016 0:00,0.018194534
6/2/2016 1:00,0.018250569
6/2/2016 2:00,0.017737959
6/2/2016 3:00,0.017696452
6/2/2016 4:00,0.017700603
6/2/2016 5:00,0.017659096
6/2/2016 6:00,0.018688466
6/2/2016 7:00,0.019223905
6/2/2016 8:00,0.020024987
6/2/2016 9:00,0.021027378
6/2/2016 10:00,0.021992413
6/2/2016 11:00,0.022799721
6/2/2016 12:00,0.024615646
6/2/2016 13:00,0.023783434
6/2/2016 14:00,0.023534393
6/2/2016 15:00,0.024287742
6/2/2016 16:00,0.023756454
6/2/2016 17:00,0.021315851
6/2/2016 18:00,0.021649981
6/2/2016 19:00,0.02098172
6/2/2016 20:00,0.018933357
6/2/2016 21:00,0.019165795
6/2/2016 22:00,0.018225665
6/2/2016 23:00,0.018325281
6/3/2016 0:00,0.017881158
6/3/2016 1:00,0.018140575
6/3/2016 2:00,0.017434959
6/3/2016 3:00,0.017123657
6/3/2016 4:00,0.017455712
6/3/2016 5:00,0.018539041
6/3/2016 6:00,0.019024672
6/3/2016 7:00,0.019879713
6/3/2016 8:00,0.021110392
6/3/2016 9:00,0.021778652
6/3/2016 10:00,0.023681742
6/3/2016 11:00,0.024673756
6/3/2016 12:00,0.024082283
6/3/2016 13:00,0.02403455
6/3/2016 14:00,0.024584516
6/3/2016 15:00,0.023133851
6/3/2016 16:00,0.022874433
6/3/2016 17:00,0.021770351
6/3/2016 18:00,0.021450748
6/3/2016 19:00,0.020707775
6/3/2016 20:00,0.019564261
6/3/2016 21:00,0.018815062
6/3/2016 22:00,0.019558035
6/3/2016 23:00,0.018059637
6/4/2016 0:00,0.019064103
6/4/2016 1:00,0.018206986
6/4/2016 2:00,0.017540801
6/4/2016 3:00,0.018155103
6/4/2016 4:00,0.017787767
6/4/2016 5:00,0.01789776
6/4/2016 6:00,0.017129883
6/4/2016 7:00,0.016822732
6/4/2016 8:00,0.016968007
6/4/2016 9:00,0.017549103
6/4/2016 10:00,0.018240192
6/4/2016 11:00,0.01832113
6/4/2016 12:00,0.019271638
6/4/2016 13:00,0.019248809
6/4/2016 14:00,0.01931937
6/4/2016 15:00,0.019599542
6/4/2016 16:00,0.019298617
6/4/2016 17:00,0.019190699
6/4/2016 18:00,0.019205227
6/4/2016 19:00,0.019302768
6/4/2016 20:00,0.019211453
6/4/2016 21:00,0.019705384
6/4/2016 22:00,0.01958709
6/4/2016 23:00,0.019089007
6/5/2016 0:00,0.018941658
6/5/2016 1:00,0.017868705
6/5/2016 2:00,0.018159254
6/5/2016 3:00,0.018136425
6/5/2016 4:00,0.017874932
6/5/2016 5:00,0.018020206
6/5/2016 6:00,0.01765287
6/5/2016 7:00,0.017154787
6/5/2016 8:00,0.017407979
6/5/2016 9:00,0.017598911
6/5/2016 10:00,0.018607528
6/5/2016 11:00,0.018566021
6/5/2016 12:00,0.019481247
6/5/2016 13:00,0.020797015
6/5/2016 14:00,0.018866946
6/5/2016 15:00,0.019861035
6/5/2016 16:00,0.020323837
6/5/2016 17:00,0.019717836
6/5/2016 18:00,0.019792549
6/5/2016 19:00,0.019362953
6/5/2016 20:00,0.019331822
6/5/2016 21:00,0.019445966
6/5/2016 22:00,0.019684631
6/5/2016 23:00,0.018559795
6/6/2016 0:00,0.018366788
6/6/2016 1:00,0.017982849
6/6/2016 2:00,0.017989075
6/6/2016 3:00,0.017881158
6/6/2016 4:00,0.018206986
6/6/2016 5:00,0.018337733
6/6/2016 6:00,0.019728213
6/6/2016 7:00,0.019875562
6/6/2016 8:00,0.020844748
6/6/2016 9:00,0.022436536
6/6/2016 10:00,0.022949146
6/6/2016 11:00,0.024812804
6/6/2016 12:00,0.024594893
6/6/2016 13:00,0.024798277
6/6/2016 14:00,0.024781674
6/6/2016 15:00,0.024472448
6/6/2016 16:00,0.024304345
6/6/2016 17:00,0.023590427
6/6/2016 18:00,0.023451379
6/6/2016 19:00,0.022685577
6/6/2016 20:00,0.019848583
6/6/2016 21:00,0.019730288
6/6/2016 22:00,0.019491624
6/6/2016 23:00,0.018603377
6/7/2016 0:00,0.018696767
6/7/2016 1:00,0.018134349
6/7/2016 2:00,0.017758712
6/7/2016 3:00,0.017910212
6/7/2016 4:00,0.018225665
6/7/2016 5:00,0.018418671
6/7/2016 6:00,0.019402384
6/7/2016 7:00,0.020049891
6/7/2016 8:00,0.020516843
6/7/2016 9:00,0.021988262
6/7/2016 10:00,0.023391194
6/7/2016 11:00,0.02430642
6/7/2016 12:00,0.023847769
6/7/2016 13:00,0.024208879
6/7/2016 14:00,0.023824941
6/7/2016 15:00,0.025229948
6/7/2016 16:00,0.023007255
6/7/2016 17:00,0.022343146
6/7/2016 18:00,0.021353207
6/7/2016 19:00,0.020821919
6/7/2016 20:00,0.019306918
6/7/2016 21:00,0.018869021
6/7/2016 22:00,0.019091083
6/7/2016 23:00,0.018416596
6/8/2016 0:00,0.018584699
6/8/2016 1:00,0.018167555
6/8/2016 2:00,0.018680165
6/8/2016 3:00,0.018171706
6/8/2016 4:00,0.018516213
6/8/2016 5:00,0.0184415
6/8/2016 6:00,0.019329747
6/8/2016 7:00,0.019823679
6/8/2016 8:00,0.021025303
6/8/2016 9:00,0.022243529
6/8/2016 10:00,0.023905879
6/8/2016 11:00,0.023656838
6/8/2016 12:00,0.025105427
6/8/2016 13:00,0.025759161
6/8/2016 14:00,0.025007886
6/8/2016 15:00,0.023287427
6/8/2016 16:00,0.022830851
6/8/2016 17:00,0.022658598
6/8/2016 18:00,0.021276419
6/8/2016 19:00,0.021114542
6/8/2016 20:00,0.019381631
6/8/2016 21:00,0.019362953
6/8/2016 22:00,0.019641049
6/8/2016 23:00,0.018893925
6/9/2016 0:00,0.019089007
6/9/2016 1:00,0.019037124
6/9/2016 2:00,0.018767329
6/9/2016 3:00,0.018489233
6/9/2016 4:00,0.018470555
6/9/2016 5:00,0.018729973
6/9/2016 6:00,0.01971161
6/9/2016 7:00,0.019188624
6/9/2016 8:00,0.020552124
6/9/2016 9:00,0.022749913
6/9/2016 10:00,0.023822865
6/9/2016 11:00,0.024926948
6/9/2016 12:00,0.025746709
6/9/2016 13:00,0.026693065
6/9/2016 14:00,0.025375222
6/9/2016 15:00,0.024360379
6/9/2016 16:00,0.023474208
6/9/2016 17:00,0.022042221
6/9/2016 18:00,0.022156365
6/9/2016 19:00,0.020153658
6/9/2016 20:00,0.019580864
6/9/2016 21:00,0.019342199
6/9/2016 22:00,0.01976972
6/9/2016 23:00,0.019580864
6/10/2016 0:00,0.019354651
6/10/2016 1:00,0.018096993
6/10/2016 2:00,0.018765254
6/10/2016 3:00,0.018271322
6/10/2016 4:00,0.018022281
6/10/2016 5:00,0.018339808
6/10/2016 6:00,0.019653501
6/10/2016 7:00,0.019641049
6/10/2016 8:00,0.020823994
6/10/2016 9:00,0.021780728
6/10/2016 10:00,0.02288481
6/10/2016 11:00,0.023254221
6/10/2016 12:00,0.02427529
6/10/2016 13:00,0.023785509
6/10/2016 14:00,0.024198502
6/10/2016 15:00,0.022971975
6/10/2016 16:00,0.022307865
6/10/2016 17:00,0.021643755
6/10/2016 18:00,0.021087563
6/10/2016 19:00,0.020666268
6/10/2016 20:00,0.018690541
6/10/2016 21:00,0.018673939
6/10/2016 22:00,0.018304528
6/10/2016 23:00,0.018204911
6/11/2016 0:00,0.018404144
6/11/2016 1:00,0.018576398
6/11/2016 2:00,0.01822774
6/11/2016 3:00,0.017852103
6/11/2016 4:00,0.017789842
6/11/2016 5:00,0.018217363
6/11/2016 6:00,0.017879082
6/11/2016 7:00,0.017165164
6/11/2016 8:00,0.01656539
6/11/2016 9:00,0.017163089
6/11/2016 10:00,0.018252644
6/11/2016 11:00,0.018244343
6/11/2016 12:00,0.018503761
6/11/2016 13:00,0.018649035
6/11/2016 14:00,0.01925711
6/11/2016 15:00,0.018779781
6/11/2016 16:00,0.019763494
6/11/2016 17:00,0.019809151
6/11/2016 18:00,0.019367103
6/11/2016 19:00,0.020357042
6/11/2016 20:00,0.018314904
6/11/2016 21:00,0.019445966
6/11/2016 22:00,0.018242267
6/11/2016 23:00,0.01801398
6/12/2016 0:00,0.018597151
6/12/2016 1:00,0.017584383
6/12/2016 2:00,0.017800219
6/12/2016 3:00,0.018360562
6/12/2016 4:00,0.017642493
6/12/2016 5:00,0.016756321
6/12/2016 6:00,0.017441185
6/12/2016 7:00,0.016814431
6/12/2016 8:00,0.016577842
6/12/2016 9:00,0.017300061
6/12/2016 10:00,0.019080706
6/12/2016 11:00,0.019452192
6/12/2016 12:00,0.01804926
6/12/2016 13:00,0.018466404
6/12/2016 14:00,0.018121897
6/12/2016 15:00,0.019020521
6/12/2016 16:00,0.018584699
6/12/2016 17:00,0.017856253
6/12/2016 18:00,0.01786663
6/12/2016 19:00,0.017374774
6/12/2016 20:00,0.017974548
6/12/2016 21:00,0.017920589
6/12/2016 22:00,0.019201076
6/12/2016 23:00,0.017966247
6/13/2016 0:00,0.01780437
6/13/2016 1:00,0.017974548
6/13/2016 2:00,0.01774626
6/13/2016 3:00,0.017007438
6/13/2016 4:00,0.017275157
6/13/2016 5:00,0.017962096
6/13/2016 6:00,0.019072405
6/13/2016 7:00,0.019151268
6/13/2016 8:00,0.019935747
6/13/2016 9:00,0.021992413
6/13/2016 10:00,0.022494646
6/13/2016 11:00,0.024142468
6/13/2016 12:00,0.024266989
6/13/2016 13:00,0.023750228
6/13/2016 14:00,0.024260763
6/13/2016 15:00,0.023862297
6/13/2016 16:00,0.02306744
6/13/2016 17:00,0.022824625
6/13/2016 18:00,0.020927761
6/13/2016 19:00,0.022260132
6/13/2016 20:00,0.018900151
6/13/2016 21:00,0.018659411
6/13/2016 22:00,0.020062343
6/13/2016 23:00,0.01886072
6/14/2016 0:00,0.019084857
6/14/2016 1:00,0.017995301
6/14/2016 2:00,0.018646959
6/14/2016 3:00,0.017785692
6/14/2016 4:00,0.017810596
6/14/2016 5:00,0.01870922
6/14/2016 6:00,0.018505836
6/14/2016 7:00,0.020128754
6/14/2016 8:00,0.019333898
6/14/2016 9:00,0.022720858
6/14/2016 10:00,0.023839468
6/14/2016 11:00,0.023567598
6/14/2016 12:00,0.023519865
6/14/2016 13:00,0.024026249
6/14/2016 14:00,0.023785509
6/14/2016 15:00,0.023870598
6/14/2016 16:00,0.022739536
6/14/2016 17:00,0.022322392
6/14/2016 18:00,0.020745131
6/14/2016 19:00,0.021407166
6/14/2016 20:00,0.019311069
6/14/2016 21:00,0.02007272
6/14/2016 22:00,0.018945809
6/14/2016 23:00,0.017565705
6/15/2016 0:00,0.017515897
6/15/2016 1:00,0.017719281
6/15/2016 2:00,0.017758712
6/15/2016 3:00,0.017825123
6/15/2016 4:00,0.019001843
6/15/2016 5:00,0.019392007
6/15/2016 6:00,0.019701234
6/15/2016 7:00,0.018906377
6/15/2016 8:00,0.019462569
6/15/2016 9:00,0.020541748
6/15/2016 10:00,0.022698029
6/15/2016 11:00,0.024210954
6/15/2016 12:00,0.023540619
6/15/2016 13:00,0.024071906
6/15/2016 14:00,0.023963989
6/15/2016 15:00,0.023754379
6/15/2016 16:00,0.022953296
6/15/2016 17:00,0.021006624
6/15/2016 18:00,0.020788713
6/15/2016 19:00,0.021091714
6/15/2016 20:00,0.019964802
6/15/2016 21:00,0.018829589
6/15/2016 22:00,0.018269247
6/15/2016 23:00,0.018167555
6/16/2016 0:00,0.017611363
6/16/2016 1:00,0.018607528
6/16/2016 2:00,0.017756637
6/16/2016 3:00,0.017048945
6/16/2016 4:00,0.018678089
6/16/2016 5:00,0.017829274
6/16/2016 6:00,0.018875247
6/16/2016 7:00,0.020462885
6/16/2016 8:00,0.021706015
6/16/2016 9:00,0.022307865
6/16/2016 10:00,0.023079892
6/16/2016 11:00,0.023544769
6/16/2016 12:00,0.023822865
6/16/2016 13:00,0.02503279
6/16/2016 14:00,0.024682057
6/16/2016 15:00,0.023422324
6/16/2016 16:00,0.023009331
6/16/2016 17:00,0.022432385
6/16/2016 18:00,0.022538228
6/16/2016 19:00,0.022301639
6/16/2016 20:00,0.020301008
6/16/2016 21:00,0.019875562
6/16/2016 22:00,0.018634507
6/16/2016 23:00,0.019151268
6/17/2016 0:00,0.018632432
6/17/2016 1:00,0.018916754
6/17/2016 2:00,0.018283774
6/17/2016 3:00,0.017953795
6/17/2016 4:00,0.018310754
6/17/2016 5:00,0.019103535
6/17/2016 6:00,0.020865501
6/17/2016 7:00,0.0207057
6/17/2016 8:00,0.021322077
6/17/2016 9:00,0.021880344
6/17/2016 10:00,0.022592187
6/17/2016 11:00,0.023656838
6/17/2016 12:00,0.023129701
6/17/2016 13:00,0.023326858
6/17/2016 14:00,0.02394116
6/17/2016 15:00,0.024621872
6/17/2016 16:00,0.022413707
6/17/2016 17:00,0.021745447
6/17/2016 18:00,0.0223722
6/17/2016 19:00,0.020743056
6/17/2016 20:00,0.019829905
6/17/2016 21:00,0.019014295
6/17/2016 22:00,0.018906377
6/17/2016 23:00,0.017775315
6/18/2016 0:00,0.019130514
6/18/2016 1:00,0.017839651
6/18/2016 2:00,0.017364397
6/18/2016 3:00,0.018497534
6/18/2016 4:00,0.017891534
6/18/2016 5:00,0.01865111
6/18/2016 6:00,0.018182082
6/18/2016 7:00,0.017227424
6/18/2016 8:00,0.017096678
6/18/2016 9:00,0.018298302
6/18/2016 10:00,0.017827199
6/18/2016 11:00,0.017926815
6/18/2016 12:00,0.018765254
6/18/2016 13:00,0.018626206
6/18/2016 14:00,0.018514137
6/18/2016 15:00,0.018412445
6/18/2016 16:00,0.019545583
6/18/2016 17:00,0.019242583
6/18/2016 18:00,0.019223905
6/18/2016 19:00,0.018308678
6/18/2016 20:00,0.018067938
6/18/2016 21:00,0.018420747
6/18/2016 22:00,0.017856253
6/18/2016 23:00,0.018136425
6/19/2016 0:00,0.018082466
6/19/2016 1:00,0.017972473
6/19/2016 2:00,0.017943418
6/19/2016 3:00,0.01780437
6/19/2016 4:00,0.01807624
6/19/2016 5:00,0.017881158
6/19/2016 6:00,0.017945493
6/19/2016 7:00,0.017609288
6/19/2016 8:00,0.017663247
6/19/2016 9:00,0.017791918
6/19/2016 10:00,0.01819661
6/19/2016 11:00,0.01847263
6/19/2016 12:00,0.018476781
6/19/2016 13:00,0.018976939
6/19/2016 14:00,0.018902226
6/19/2016 15:00,0.018871096
6/19/2016 16:00,0.019589165
6/19/2016 17:00,0.019323521
6/19/2016 18:00,0.019645199
6/19/2016 19:00,0.019744816
6/19/2016 20:00,0.019416912
6/19/2016 21:00,0.019464644
6/19/2016 22:00,0.019541432
6/19/2016 23:00,0.019441816
6/20/2016 0:00,0.018509987
6/20/2016 1:00,0.018333582
6/20/2016 2:00,0.018422822
6/20/2016 3:00,0.018148877
6/20/2016 4:00,0.019026747
6/20/2016 5:00,0.018756952
6/20/2016 6:00,0.019475021
6/20/2016 7:00,0.021537912
6/20/2016 8:00,0.023831167
6/20/2016 9:00,0.024013797
6/20/2016 10:00,0.024580366
6/20/2016 11:00,0.02669514
6/20/2016 12:00,0.025070147
6/20/2016 13:00,0.026192907
6/20/2016 14:00,0.027971476
6/20/2016 15:00,0.027382079
6/20/2016 16:00,0.025867078
6/20/2016 17:00,0.024235859
6/20/2016 18:00,0.023140077
6/20/2016 19:00,0.022880659
6/20/2016 20:00,0.020363268
6/20/2016 21:00,0.020191015
6/20/2016 22:00,0.019802925
6/20/2016 23:00,0.019072405
6/21/2016 0:00,0.018684315
6/21/2016 1:00,0.018603377
6/21/2016 2:00,0.018368863
6/21/2016 3:00,0.01819661
6/21/2016 4:00,0.018163404
6/21/2016 5:00,0.018854494
6/21/2016 6:00,0.020483638
6/21/2016 7:00,0.020419302
6/21/2016 8:00,0.021199631
6/21/2016 9:00,0.022606714
6/21/2016 10:00,0.023827016
6/21/2016 11:00,0.024260763
6/21/2016 12:00,0.026614202
6/21/2016 13:00,0.025252777
6/21/2016 14:00,0.025057695
6/21/2016 15:00,0.024740167
6/21/2016 16:00,0.02457414
6/21/2016 17:00,0.023665139
6/21/2016 18:00,0.022525776
6/21/2016 19:00,0.021000398
6/21/2016 20:00,0.019541432
6/21/2016 21:00,0.018812987
6/21/2016 22:00,0.019946124
6/21/2016 23:00,0.018956185
6/22/2016 0:00,0.018767329
6/22/2016 1:00,0.018229815
6/22/2016 2:00,0.018072089
6/22/2016 3:00,0.018254719
6/22/2016 4:00,0.018366788
6/22/2016 5:00,0.018231891
6/22/2016 6:00,0.020006309
6/22/2016 7:00,0.019520679
6/22/2016 8:00,0.021232837
6/22/2016 9:00,0.022058824
6/22/2016 10:00,0.023849845
6/22/2016 11:00,0.025761236
6/22/2016 12:00,0.024872989
6/22/2016 13:00,0.023424399
6/22/2016 14:00,0.024208879
6/22/2016 15:00,0.025439558
6/22/2016 16:00,0.023467982
6/22/2016 17:00,0.023470057
6/22/2016 18:00,0.022722933
6/22/2016 19:00,0.021610549
6/22/2016 20:00,0.020516843
6/22/2016 21:00,0.019761419
6/22/2016 22:00,0.018925055
6/22/2016 23:00,0.018534891
6/23/2016 0:00,0.018404144
6/23/2016 1:00,0.018350185
6/23/2016 2:00,0.018536966
6/23/2016 3:00,0.018339808
6/23/2016 4:00,0.018346034
6/23/2016 5:00,0.01880261
6/23/2016 6:00,0.019421062
6/23/2016 7:00,0.019971028
6/23/2016 8:00,0.020539672
6/23/2016 9:00,0.022150139
6/23/2016 10:00,0.024022098
6/23/2016 11:00,0.024082283
6/23/2016 12:00,0.024042852
6/23/2016 13:00,0.022808022
6/23/2016 14:00,0.023310256
6/23/2016 15:00,0.023001029
6/23/2016 16:00,0.022637844
6/23/2016 17:00,0.021996563
6/23/2016 18:00,0.022536152
6/23/2016 19:00,0.021577344
6/23/2016 20:00,0.020054042
6/23/2016 21:00,0.020641364
6/23/2016 22:00,0.019836131
6/23/2016 23:00,0.019248809
6/24/2016 0:00,0.019294466
6/24/2016 1:00,0.018611678
6/24/2016 2:00,0.018765254
6/24/2016 3:00,0.018483007
6/24/2016 4:00,0.018729973
6/24/2016 5:00,0.018707144
6/24/2016 6:00,0.019786323
6/24/2016 7:00,0.019279939
6/24/2016 8:00,0.020000772
6/24/2016 9:00,0.022187495
6/24/2016 10:00,0.024642626
6/24/2016 11:00,0.024310571
6/24/2016 12:00,0.025005811
6/24/2016 13:00,0.024140393
6/24/2016 14:00,0.023631934
6/24/2016 15:00,0.023905879
6/24/2016 16:00,0.022507098
6/24/2016 17:00,0.021720543
6/24/2016 18:00,0.021436221
6/24/2016 19:00,0.020574953
6/24/2016 20:00,0.019037124
6/24/2016 21:00,0.018622055
6/24/2016 22:00,0.018698843
6/24/2016 23:00,0.017953795
6/25/2016 0:00,0.018310754
6/25/2016 1:00,0.018155103
6/25/2016 2:00,0.017632116
6/25/2016 3:00,0.017895685
6/25/2016 4:00,0.017534575
6/25/2016 5:00,0.017758712
6/25/2016 6:00,0.016884993
6/25/2016 7:00,0.017179692
6/25/2016 8:00,0.0175325
6/25/2016 9:00,0.017731733
6/25/2016 10:00,0.018242267
6/25/2016 11:00,0.018389617
6/25/2016 12:00,0.018456028
6/25/2016 13:00,0.018225665
6/25/2016 14:00,0.019159569
6/25/2016 15:00,0.019491624
6/25/2016 16:00,0.019431439
6/25/2016 17:00,0.019504076
6/25/2016 18:00,0.019032973
6/25/2016 19:00,0.019429364
6/25/2016 20:00,0.019323521
6/25/2016 21:00,0.019080706
6/25/2016 22:00,0.018694692
6/25/2016 23:00,0.018875247
6/26/2016 0:00,0.018364713
6/26/2016 1:00,0.018043034
6/26/2016 2:00,0.017964171
6/26/2016 3:00,0.017719281
6/26/2016 4:00,0.017829274
6/26/2016 5:00,0.017727582
6/26/2016 6:00,0.017289685
6/26/2016 7:00,0.017223274
6/26/2016 8:00,0.017111205
6/26/2016 9:00,0.017335342
6/26/2016 10:00,0.017586459
6/26/2016 11:00,0.018781857
6/26/2016 12:00,0.018536966
6/26/2016 13:00,0.018580548
6/26/2016 14:00,0.019045425
6/26/2016 15:00,0.019414836
6/26/2016 16:00,0.019937823
6/26/2016 17:00,0.01928824
6/26/2016 18:00,0.019840282
6/26/2016 19:00,0.02004159
6/26/2016 20:00,0.019894241
6/26/2016 21:00,0.019443891
6/26/2016 22:00,0.019161644
6/26/2016 23:00,0.018829589
6/27/2016 0:00,0.018597151
6/27/2016 1:00,0.01801398
6/27/2016 2:00,0.017744185
6/27/2016 3:00,0.018285849
6/27/2016 4:00,0.018111521
6/27/2016 5:00,0.018705069
6/27/2016 6:00,0.019008069
6/27/2016 7:00,0.01952898
6/27/2016 8:00,0.021390563
6/27/2016 9:00,0.021313775
6/27/2016 10:00,0.022785194
6/27/2016 11:00,0.024972605
6/27/2016 12:00,0.023773057
6/27/2016 13:00,0.025124106
6/27/2016 14:00,0.026342332
6/27/2016 15:00,0.026066311
6/27/2016 16:00,0.025128256
6/27/2016 17:00,0.024887516
6/27/2016 18:00,0.022957447
6/27/2016 19:00,0.022542379
6/27/2016 20:00,0.020388172
6/27/2016 21:00,0.019977254
6/27/2016 22:00,0.019433514
6/27/2016 23:00,0.02001046
6/28/2016 0:00,0.019279939
6/28/2016 1:00,0.018646959
6/28/2016 2:00,0.018939583
6/28/2016 3:00,0.018684315
6/28/2016 4:00,0.018375089
6/28/2016 5:00,0.01916372
6/28/2016 6:00,0.020730604
6/28/2016 7:00,0.020778337
6/28/2016 8:00,0.022199947
6/28/2016 9:00,0.023704571
6/28/2016 10:00,0.025601434
6/28/2016 11:00,0.025943866
6/28/2016 12:00,0.025669921
6/28/2016 13:00,0.026062161
6/28/2016 14:00,0.025323338
6/28/2016 15:00,0.025105427
6/28/2016 16:00,0.024221331
6/28/2016 17:00,0.023337235
6/28/2016 18:00,0.023086118
6/28/2016 19:00,0.02279557
6/28/2016 20:00,0.020035364
6/28/2016 21:00,0.020081021
6/28/2016 22:00,0.019705384
6/28/2016 23:00,0.019431439
6/29/2016 0:00,0.019248809
6/29/2016 1:00,0.018927131
6/29/2016 2:00,0.018906377
6/29/2016 3:00,0.019242583
6/29/2016 4:00,0.018559795
6/29/2016 5:00,0.018578473
6/29/2016 6:00,0.020398549
6/29/2016 7:00,0.020562501
6/29/2016 8:00,0.023243845
6/29/2016 9:00,0.024024174
6/29/2016 10:00,0.0259999
6/29/2016 11:00,0.026587223
6/29/2016 12:00,0.027014743
6/29/2016 13:00,0.026906825
6/29/2016 14:00,0.026838339
6/29/2016 15:00,0.027797148
6/29/2016 16:00,0.026257243
6/29/2016 17:00,0.025599359
6/29/2016 18:00,0.024144544
6/29/2016 19:00,0.022998954
6/29/2016 20:00,0.019875562
6/29/2016 21:00,0.019300692
6/29/2016 22:00,0.019782172
6/29/2016 23:00,0.018976939
6/30/2016 0:00,0.018638658
6/30/2016 1:00,0.017810596
6/30/2016 2:00,0.018568096
6/30/2016 3:00,0.018202836
6/30/2016 4:00,0.018844117
6/30/2016 5:00,0.019829905
6/30/2016 6:00,0.020657967
6/30/2016 7:00,0.020348741
6/30/2016 8:00,0.021876193
6/30/2016 9:00,0.023945311
6/30/2016 10:00,0.025468613
6/30/2016 11:00,0.024956003
6/30/2016 12:00,0.026111969
6/30/2016 13:00,0.025109578
6/30/2016 14:00,0.025686524
6/30/2016 15:00,0.025651243
6/30/2016 16:00,0.025921037
6/30/2016 17:00,0.02409266
6/30/2016 18:00,0.022905564
6/30/2016 19:00,0.023025933
6/30/2016 20:00,0.020062343
6/30/2016 21:00,0.019601617
6/30/2016 22:00,0.019780097
6/30/2016 23:00,0.019537281
7/1/2016 0:00,0.019410686
7/1/2016 1:00,0.019153343
7/1/2016 2:00,0.018676014
7/1/2016 3:00,0.018788083
7/1/2016 4:00,0.018997692
7/1/2016 5:00,0.019705384
7/1/2016 6:00,0.021058508
7/1/2016 7:00,0.021019077
7/1/2016 8:00,0.022540303
7/1/2016 9:00,0.023393269
7/1/2016 10:00,0.024385283
7/1/2016 11:00,0.026091215
7/1/2016 12:00,0.026130647
7/1/2016 13:00,0.025290133
7/1/2016 14:00,0.025489366
